filename	maf	phenotype_name	phenotype_code	p-1e-04	p-1e-05	p-1e-06	p-1e-07	p-1e-08
100021_irnt	maf_0.01	Vitamin D	100021_irnt	216	27	1	0	0
100021_raw	maf_0.01	Vitamin D	100021_raw	216	39	5	0	0
100022	maf_0.01	Alcohol	100022	215	32	4	1	1
100023_irnt	maf_0.01	Starch	100023_irnt	213	35	2	0	0
100023_raw	maf_0.01	Starch	100023_raw	225	25	4	0	0
100024_irnt	maf_0.01	Calcium	100024_irnt	200	27	6	1	0
100024_raw	maf_0.01	Calcium	100024_raw	187	26	4	1	0
100025_irnt	maf_0.01	Vitamin E	100025_irnt	201	28	2	0	0
100025_raw	maf_0.01	Vitamin E	100025_raw	217	32	4	0	0
1001	maf_0.01	Duration of strenuous sports	1001	186	27	4	1	0
100150	maf_0.01	Drinking water intake	100150	246	25	4	2	1
100160	maf_0.01	Low calorie drink intake	100160	207	37	3	0	0
100170	maf_0.01	Fizzy drink intake	100170	241	38	4	0	0
100190	maf_0.01	Orange juice intake	100190	226	24	1	0	0
100240	maf_0.01	Coffee consumed	100240	218	28	7	2	1
100250	maf_0.01	Instant coffee intake	100250	210	25	5	1	0
100260	maf_0.01	Added milk to instant coffee	100260	231	34	4	0	0
100270	maf_0.01	Filtered coffee intake	100270	234	35	6	3	2
100280	maf_0.01	Added milk to filtered coffee	100280	225	42	5	1	0
100360	maf_0.01	Decaffeinated coffee	100360	202	28	3	1	0
100370	maf_0.01	Intake of sugar added to coffee	100370	217	24	2	1	0
100390	maf_0.01	Tea consumed	100390	230	26	4	1	0
100400	maf_0.01	Standard tea intake	100400	214	34	7	1	1
100460	maf_0.01	Added milk to standard tea	100460	186	24	4	2	1
100520	maf_0.01	Milk intake	100520	242	40	8	1	0
100580	maf_0.01	Alcohol consumed	100580	224	30	5	1	1
100590	maf_0.01	Red wine intake	100590	209	27	4	1	0
100630	maf_0.01	Rose wine intake	100630	261	43	10	1	0
100670	maf_0.01	White wine intake	100670	197	32	5	1	0
100710	maf_0.01	Beer/cider intake	100710	205	31	3	1	0
100720	maf_0.01	Fortified wine intake	100720	271	37	5	0	0
100730	maf_0.01	Spirits intake	100730	222	36	6	2	0
100760	maf_0.01	Breakfast cereal consumed	100760	208	23	1	0	0
100890	maf_0.01	Milk added to cereal	100890	199	25	1	0	0
100920_0	maf_0.01	Type milk consumed: did not have milk	100920_0	197	15	0	0	0
100920_2102	maf_0.01	Type milk consumed: semiskimmed	100920_2102	203	20	0	0	0
100920_2103	maf_0.01	Type milk consumed: skimmed	100920_2103	196	19	2	0	0
100920_2104	maf_0.01	Type milk consumed: wholemilk	100920_2104	247	37	7	0	0
100920_2105	maf_0.01	Type milk consumed: soya with calcium	100920_2105	213	29	6	1	0
100920_2106	maf_0.01	Type milk consumed: soya without calcium	100920_2106	196	26	9	0	0
100920_2107	maf_0.01	Type milk consumed: goat/sheep milk	100920_2107	127	25	5	1	0
100920_2108	maf_0.01	Type milk consumed: rice/oat/vegetable milk	100920_2108	144	21	3	1	0
100920_2109	maf_0.01	Type milk consumed: powdered milk	100920_2109	131	22	1	0	0
100920_2110	maf_0.01	Type milk consumed: cholesterol lowering milk	100920_2110	93	18	1	0	0
100920_2199	maf_0.01	Type milk consumed: other type of milk	100920_2199	135	21	2	1	1
100940	maf_0.01	Bread consumed	100940	196	22	5	1	0
1011	maf_0.01	Frequency of light DIY in last 4 weeks	1011	244	38	9	1	0
102_irnt	maf_0.01	Pulse rate, automated reading	102_irnt	936	564	379	279	223
102_raw	maf_0.01	Pulse rate, automated reading	102_raw	906	546	370	263	213
102080	maf_0.01	Yogurt/ice-cream consumers	102080	211	29	5	0	0
1021	maf_0.01	Duration of light DIY	1021	299	55	8	2	1
102130	maf_0.01	Dessert consumers	102130	207	27	4	1	1
102190	maf_0.01	Cake intake	102190	201	24	3	0	0
102250	maf_0.01	Sweet snack consumers	102250	232	29	4	0	0
102280	maf_0.01	Milk chocolate intake	102280	210	31	5	0	0
102290	maf_0.01	Dark chocolate intake	102290	258	36	4	0	0
102330	maf_0.01	Sweets intake	102330	250	35	10	3	0
102360	maf_0.01	Sweet biscuits intake	102360	192	22	4	3	0
102400	maf_0.01	Savoury snack consumers	102400	205	27	3	1	0
102440	maf_0.01	Unsalted nuts intake	102440	217	24	5	1	0
102460	maf_0.01	Crisp intake	102460	241	38	2	0	0
102700	maf_0.01	Starchy food consumers	102700	223	23	2	0	0
102800	maf_0.01	Cheese consumers	102800	203	23	2	1	0
102820	maf_0.01	Hard cheese intake	102820	209	24	5	0	0
102830	maf_0.01	Soft cheese intake	102830	228	43	6	0	0
102840	maf_0.01	Blue cheese intake	102840	264	40	6	1	0
102930	maf_0.01	Egg consumers	102930	191	15	2	0	0
103000	maf_0.01	Meat consumers	103000	184	23	6	0	0
103020	maf_0.01	Beef intake	103020	193	24	3	1	0
103060	maf_0.01	Poultry intake	103060	211	27	4	0	0
103070	maf_0.01	Bacon intake	103070	203	29	4	0	0
1031	maf_0.01	Frequency of friend/family visits	1031	458	111	31	17	10
103120	maf_0.01	Fat removed from meat	103120	206	28	7	0	0
103130	maf_0.01	Skin removed from poultry	103130	113	10	2	0	0
103140	maf_0.01	Fish consumer	103140	187	28	2	1	0
103250	maf_0.01	Vegetarian alternatives intake	103250	192	33	7	1	1
103990	maf_0.01	Vegetable consumers	103990	208	27	1	1	1
104020	maf_0.01	Fried potatoes intake	104020	218	29	3	0	0
104090	maf_0.01	Side salad intake	104090	215	38	8	1	0
104170	maf_0.01	Carrot intake	104170	183	18	4	0	0
104210	maf_0.01	Cucumber intake	104210	206	32	1	0	0
104240	maf_0.01	Lettuce intake	104240	194	27	4	0	0
104290	maf_0.01	Sweet pepper intake	104290	215	36	7	1	0
104340	maf_0.01	Fresh tomato intake	104340	208	26	3	0	0
104400	maf_0.01	Fruit consumers	104400	206	24	2	0	0
104450	maf_0.01	Apple intake	104450	224	34	3	1	0
104460	maf_0.01	Banana intake	104460	221	26	5	1	1
104530	maf_0.01	Orange intake	104530	208	30	3	0	0
104670	maf_0.01	Vitamin supplement user	104670	204	19	3	0	0
104900	maf_0.01	Time spent doing vigorous physical activity	104900	229	31	3	1	0
104910	maf_0.01	Time spent doing moderate physical activity	104910	189	17	2	0	0
104920	maf_0.01	Time spent doing light physical activity	104920	276	52	13	6	1
1050	maf_0.01	Time spend outdoors in summer	1050	636	250	98	47	26
1060	maf_0.01	Time spent outdoors in winter	1060	378	81	18	8	3
1070	maf_0.01	Time spent watching television (TV)	1070	884	440	213	110	60
1080	maf_0.01	Time spent using computer	1080	708	249	113	58	33
1090	maf_0.01	Time spent driving	1090	370	78	12	4	1
1100	maf_0.01	Drive faster than motorway speed limit	1100	573	196	59	26	16
110001	maf_0.01	Invitation to complete online 24-hour recall dietary questionnaire, acceptance	110001	336	59	13	2	0
1110	maf_0.01	Length of mobile phone use	1110	574	203	80	28	17
1120	maf_0.01	Weekly usage of mobile phone in last 3 months	1120	466	121	26	7	4
1130	maf_0.01	Hands-free device/speakerphone use with mobile phone in last 3 month	1130	304	55	20	5	2
1140	maf_0.01	Difference in mobile phone use compared to two years previously	1140	236	37	5	1	0
1150_1	maf_0.01	Usual side of head for mobile phone use: Left	1150_1	322	53	14	5	1
1150_2	maf_0.01	Usual side of head for mobile phone use: Right	1150_2	343	71	18	8	2
1150_3	maf_0.01	Usual side of head for mobile phone use: Equally left and right	1150_3	255	36	5	1	0
1160	maf_0.01	Sleep duration	1160	674	280	123	69	43
1170	maf_0.01	Getting up in morning	1170	695	291	128	63	36
1180	maf_0.01	Morning/evening person (chronotype)	1180	909	455	229	128	86
1190	maf_0.01	Nap during day	1190	660	328	156	77	49
1200	maf_0.01	Sleeplessness / insomnia	1200	556	211	91	44	26
1210	maf_0.01	Snoring	1210	573	203	78	41	24
1220	maf_0.01	Daytime dozing / sleeping (narcolepsy)	1220	509	157	58	34	19
12336_irnt	maf_0.01	Ventricular rate	12336_irnt	197	29	2	1	0
12336_raw	maf_0.01	Ventricular rate	12336_raw	195	29	2	1	1
12338_irnt	maf_0.01	P duration	12338_irnt	212	24	2	0	0
12338_raw	maf_0.01	P duration	12338_raw	218	28	3	0	0
12340_irnt	maf_0.01	QRS duration	12340_irnt	229	36	11	6	3
12340_raw	maf_0.01	QRS duration	12340_raw	243	39	10	3	2
1239	maf_0.01	Current tobacco smoking	1239	484	163	49	25	13
1249	maf_0.01	Past tobacco smoking	1249	786	350	164	88	43
1259	maf_0.01	Smoking/smokers in household	1259	264	44	4	0	0
1269	maf_0.01	Exposure to tobacco smoke at home	1269	249	36	3	1	0
1279	maf_0.01	Exposure to tobacco smoke outside home	1279	365	90	15	2	1
1289	maf_0.01	Cooked vegetable intake	1289	447	113	29	7	2
129_irnt	maf_0.01	Place of birth in UK - north co-ordinate	129_irnt	1319	606	214	72	29
129_raw	maf_0.01	Place of birth in UK - north co-ordinate	129_raw	1479	856	352	127	49
1299	maf_0.01	Salad / raw vegetable intake	1299	468	139	52	22	12
130_irnt	maf_0.01	Place of birth in UK - east co-ordinate	130_irnt	1249	518	145	39	14
130_raw	maf_0.01	Place of birth in UK - east co-ordinate	130_raw	1333	615	204	75	17
1309	maf_0.01	Fresh fruit intake	1309	547	180	82	42	24
1319	maf_0.01	Dried fruit intake	1319	575	193	80	39	24
1329	maf_0.01	Oily fish intake	1329	598	239	114	72	45
1339	maf_0.01	Non-oily fish intake	1339	342	96	30	11	8
134	maf_0.01	Number of self-reported cancers	134	251	58	20	10	9
1349	maf_0.01	Processed meat intake	1349	497	148	46	20	10
135	maf_0.01	Number of self-reported non-cancer illnesses	135	406	160	66	30	20
1359	maf_0.01	Poultry intake	1359	390	91	24	6	1
136	maf_0.01	Number of operations, self-reported	136	266	80	34	13	3
1369	maf_0.01	Beef intake	1369	462	111	30	12	7
137	maf_0.01	Number of treatments/medications taken	137	435	169	77	28	16
1379	maf_0.01	Lamb/mutton intake	1379	486	151	53	22	13
1389	maf_0.01	Pork intake	1389	369	99	26	9	4
1408	maf_0.01	Cheese intake	1408	667	247	103	48	25
1418_1	maf_0.01	Milk type used: Full cream	1418_1	282	60	11	5	2
1418_2	maf_0.01	Milk type used: Semi-skimmed	1418_2	254	44	6	0	0
1418_3	maf_0.01	Milk type used: Skimmed	1418_3	293	63	16	5	3
1418_4	maf_0.01	Milk type used: Soya	1418_4	237	45	6	1	0
1418_5	maf_0.01	Milk type used: Other type of milk	1418_5	200	22	3	0	0
1418_6	maf_0.01	Milk type used: Never/rarely have milk	1418_6	285	42	5	2	1
1428_0	maf_0.01	Spread type: Never/rarely use spread	1428_0	332	62	15	2	2
1428_1	maf_0.01	Spread type: Butter/spreadable butter	1428_1	431	124	42	15	6
1428_2	maf_0.01	Spread type: Flora Pro-Active/Benecol	1428_2	235	29	3	1	0
1428_3	maf_0.01	Spread type: Other type of spread/margarine	1428_3	383	79	12	4	1
1438_irnt	maf_0.01	Bread intake	1438_irnt	500	149	59	22	16
1438_raw	maf_0.01	Bread intake	1438_raw	494	128	54	25	8
1448_1	maf_0.01	Bread type: White	1448_1	594	204	78	31	16
1448_2	maf_0.01	Bread type: Brown	1448_2	260	49	5	0	0
1448_3	maf_0.01	Bread type: Wholemeal or wholegrain	1448_3	557	163	57	24	15
1448_4	maf_0.01	Bread type: Other type of bread	1448_4	192	36	14	9	9
1458	maf_0.01	Cereal intake	1458	598	187	71	29	18
1468_1	maf_0.01	Cereal type: Bran cereal (e.g. All Bran, Branflakes)	1468_1	229	39	2	1	0
1468_2	maf_0.01	Cereal type: Biscuit cereal (e.g. Weetabix)	1468_2	255	48	12	3	2
1468_3	maf_0.01	Cereal type: Oat cereal (e.g. Ready Brek, porridge)	1468_3	290	49	9	1	1
1468_4	maf_0.01	Cereal type: Muesli	1468_4	483	111	40	17	9
1468_5	maf_0.01	Cereal type: Other (e.g. Cornflakes, Frosties)	1468_5	388	102	31	21	12
1478	maf_0.01	Salt added to food	1478	732	303	149	82	59
1488_irnt	maf_0.01	Tea intake	1488_irnt	556	168	66	27	20
1488_raw	maf_0.01	Tea intake	1488_raw	528	152	52	23	17
1498	maf_0.01	Coffee intake	1498	481	152	58	29	18
1508_1	maf_0.01	Coffee type: Decaffeinated coffee (any type)	1508_1	272	41	8	3	2
1508_2	maf_0.01	Coffee type: Instant coffee	1508_2	362	64	20	8	2
1508_3	maf_0.01	Coffee type: Ground coffee (include espresso, filter etc)	1508_3	573	188	68	29	12
1508_4	maf_0.01	Coffee type: Other type of coffee	1508_4	218	26	3	0	0
1518	maf_0.01	Hot drink temperature	1518	701	292	135	78	44
1528	maf_0.01	Water intake	1528	576	193	67	33	19
1538_0	maf_0.01	Major dietary changes in the last 5 years: No	1538_0	443	124	50	22	6
1538_1	maf_0.01	Major dietary changes in the last 5 years: Yes, because of illness	1538_1	377	83	21	9	5
1538_2	maf_0.01	Major dietary changes in the last 5 years: Yes, because of other reasons	1538_2	308	54	11	4	3
1548	maf_0.01	Variation in diet	1548	472	123	35	11	5
1558	maf_0.01	Alcohol intake frequency.	1558	767	357	170	96	46
1568	maf_0.01	Average weekly red wine intake	1568	425	109	37	18	10
1578	maf_0.01	Average weekly champagne plus white wine intake	1578	353	74	14	3	1
1588	maf_0.01	Average weekly beer plus cider intake	1588	425	107	43	20	9
1598	maf_0.01	Average weekly spirits intake	1598	312	50	15	5	0
1608	maf_0.01	Average weekly fortified wine intake	1608	256	34	6	1	0
1618	maf_0.01	Alcohol usually taken with meals	1618	589	170	58	22	10
1628	maf_0.01	Alcohol intake versus 10 years previously	1628	420	101	34	17	5
1677	maf_0.01	Breastfed as a baby	1677	285	72	12	2	0
1687	maf_0.01	Comparative body size at age 10	1687	977	556	344	239	170
1697	maf_0.01	Comparative height size at age 10	1697	1168	835	645	506	435
1707_1	maf_0.01	Handedness (chirality/laterality): Right-handed	1707_1	230	43	11	2	2
1707_2	maf_0.01	Handedness (chirality/laterality): Left-handed	1707_2	260	46	6	2	2
1707_3	maf_0.01	Handedness (chirality/laterality): Use both right and left hands equally	1707_3	218	45	5	1	0
1717	maf_0.01	Skin colour	1717	588	262	147	116	102
1727	maf_0.01	Ease of skin tanning	1727	588	254	136	92	73
1737	maf_0.01	Childhood sunburn occasions	1737	573	212	102	70	54
1747_1	maf_0.01	Hair colour (natural, before greying): Blonde	1747_1	613	327	215	166	129
1747_2	maf_0.01	Hair colour (natural, before greying): Red	1747_2	237	55	28	21	17
1747_3	maf_0.01	Hair colour (natural, before greying): Light brown	1747_3	360	119	73	54	43
1747_4	maf_0.01	Hair colour (natural, before greying): Dark brown	1747_4	582	285	185	150	117
1747_5	maf_0.01	Hair colour (natural, before greying): Black	1747_5	391	145	77	60	47
1747_6	maf_0.01	Hair colour (natural, before greying): Other	1747_6	227	33	5	5	3
1757	maf_0.01	Facial ageing	1757	647	249	118	70	46
1767	maf_0.01	Adopted as a child	1767	236	31	9	3	0
1777	maf_0.01	Part of a multiple birth	1777	198	39	5	2	0
1787	maf_0.01	Maternal smoking around birth	1787	451	116	36	9	7
1797	maf_0.01	Father still alive	1797	252	31	5	3	2
1807_irnt	maf_0.01	Father's age at death	1807_irnt	342	76	19	3	3
1807_raw	maf_0.01	Father's age at death	1807_raw	322	65	13	3	3
1835	maf_0.01	Mother still alive	1835	223	31	4	2	1
1873	maf_0.01	Number of full brothers	1873	270	39	4	0	0
1883	maf_0.01	Number of full sisters	1883	297	49	7	0	0
189_irnt	maf_0.01	Townsend deprivation index at recruitment	189_irnt	411	99	22	6	3
189_raw	maf_0.01	Townsend deprivation index at recruitment	189_raw	457	100	27	10	2
1920	maf_0.01	Mood swings	1920	636	244	110	54	36
1930	maf_0.01	Miserableness	1930	576	211	93	48	30
1940	maf_0.01	Irritability	1940	588	220	98	48	26
1950	maf_0.01	Sensitivity / hurt feelings	1950	604	214	78	38	20
1960	maf_0.01	Fed-up feelings	1960	659	248	109	55	35
1970	maf_0.01	Nervous feelings	1970	624	235	98	59	34
1980	maf_0.01	Worrier / anxious feelings	1980	700	271	114	62	34
1990	maf_0.01	Tense / 'highly strung'	1990	520	190	68	36	13
2000	maf_0.01	Worry too long after embarrassment	2000	637	239	92	43	17
20001_1001	maf_0.01	Cancer code, self-reported: lung cancer	20001_1001	114	19	2	1	0
20001_1002	maf_0.01	Cancer code, self-reported: breast cancer	20001_1002	275	62	30	17	17
20001_1003	maf_0.01	Cancer code, self-reported: skin cancer	20001_1003	227	32	7	1	1
20001_1006	maf_0.01	Cancer code, self-reported: larynx/throat cancer	20001_1006	128	21	1	0	0
20001_1011	maf_0.01	Cancer code, self-reported: tongue cancer	20001_1011	94	15	1	0	0
20001_1017	maf_0.01	Cancer code, self-reported: oesophageal cancer	20001_1017	106	18	3	1	0
20001_1018	maf_0.01	Cancer code, self-reported: stomach cancer	20001_1018	80	9	1	0	0
20001_1019	maf_0.01	Cancer code, self-reported: small intestine/small bowel cancer	20001_1019	110	18	1	0	0
20001_1020	maf_0.01	Cancer code, self-reported: large bowel cancer/colorectal cancer	20001_1020	184	36	8	2	0
20001_1022	maf_0.01	Cancer code, self-reported: colon cancer/sigmoid cancer	20001_1022	253	36	6	1	1
20001_1023	maf_0.01	Cancer code, self-reported: rectal cancer	20001_1023	136	22	3	0	0
20001_1024	maf_0.01	Cancer code, self-reported: liver/hepatocellular cancer	20001_1024	105	16	1	0	0
20001_1030	maf_0.01	Cancer code, self-reported: eye and/or adnexal cancer	20001_1030	84	9	0	0	0
20001_1032	maf_0.01	Cancer code, self-reported: brain cancer / primary malignant brain tumour	20001_1032	117	19	2	1	0
20001_1034	maf_0.01	Cancer code, self-reported: kidney/renal cell cancer	20001_1034	188	25	4	1	1
20001_1035	maf_0.01	Cancer code, self-reported: bladder cancer	20001_1035	213	37	6	1	0
20001_1039	maf_0.01	Cancer code, self-reported: ovarian cancer	20001_1039	191	31	5	1	0
20001_1040	maf_0.01	Cancer code, self-reported: uterine/endometrial cancer	20001_1040	195	30	3	0	0
20001_1041	maf_0.01	Cancer code, self-reported: cervical cancer	20001_1041	246	37	3	1	1
20001_1044	maf_0.01	Cancer code, self-reported: prostate cancer	20001_1044	274	62	26	14	12
20001_1045	maf_0.01	Cancer code, self-reported: testicular cancer	20001_1045	211	33	11	5	5
20001_1048	maf_0.01	Cancer code, self-reported: leukaemia	20001_1048	122	21	3	1	0
20001_1050	maf_0.01	Cancer code, self-reported: multiple myeloma	20001_1050	92	11	2	0	0
20001_1052	maf_0.01	Cancer code, self-reported: hodgkins lymphoma / hodgkins disease	20001_1052	154	20	6	2	2
20001_1053	maf_0.01	Cancer code, self-reported: non-hodgkins lymphoma	20001_1053	202	29	6	1	1
20001_1055	maf_0.01	Cancer code, self-reported: chronic lymphocytic	20001_1055	149	33	6	1	0
20001_1059	maf_0.01	Cancer code, self-reported: malignant melanoma	20001_1059	235	34	10	4	4
20001_1060	maf_0.01	Cancer code, self-reported: non-melanoma skin cancer	20001_1060	192	31	5	3	1
20001_1061	maf_0.01	Cancer code, self-reported: basal cell carcinoma	20001_1061	281	68	30	16	13
20001_1062	maf_0.01	Cancer code, self-reported: squamous cell carcinoma	20001_1062	156	30	5	0	0
20001_1063	maf_0.01	Cancer code, self-reported: primary bone cancer	20001_1063	93	13	1	1	0
20001_1065	maf_0.01	Cancer code, self-reported: thyroid cancer	20001_1065	148	21	2	1	1
20001_1068	maf_0.01	Cancer code, self-reported: sarcoma/fibrosarcoma	20001_1068	114	10	2	1	0
20001_1072	maf_0.01	Cancer code, self-reported: cin/pre-cancer cells cervix	20001_1072	229	44	9	3	0
20001_1073	maf_0.01	Cancer code, self-reported: rodent ulcer	20001_1073	192	22	3	1	0
20001_99999	maf_0.01	Cancer code, self-reported: unclassifiable	20001_99999	166	26	6	1	1
20002_1065	maf_0.01	Non-cancer illness code, self-reported: hypertension	20002_1065	910	543	338	244	188
20002_1066	maf_0.01	Non-cancer illness code, self-reported: heart/cardiac problem	20002_1066	217	29	5	1	0
20002_1067	maf_0.01	Non-cancer illness code, self-reported: peripheral vascular disease	20002_1067	195	31	3	0	0
20002_1072	maf_0.01	Non-cancer illness code, self-reported: essential hypertension	20002_1072	241	46	10	2	0
20002_1073	maf_0.01	Non-cancer illness code, self-reported: gestational hypertension/pre-eclampsia	20002_1073	237	41	6	1	0
20002_1074	maf_0.01	Non-cancer illness code, self-reported: angina	20002_1074	349	96	38	17	14
20002_1075	maf_0.01	Non-cancer illness code, self-reported: heart attack/myocardial infarction	20002_1075	334	80	27	13	10
20002_1076	maf_0.01	Non-cancer illness code, self-reported: heart failure/pulmonary odema	20002_1076	112	19	2	0	0
20002_1077	maf_0.01	Non-cancer illness code, self-reported: heart arrhythmia	20002_1077	226	40	5	1	0
20002_1078	maf_0.01	Non-cancer illness code, self-reported: heart valve problem/heart murmur	20002_1078	219	44	4	0	0
20002_1079	maf_0.01	Non-cancer illness code, self-reported: cardiomyopathy	20002_1079	165	21	4	1	0
20002_1080	maf_0.01	Non-cancer illness code, self-reported: pericardial problem	20002_1080	122	19	3	0	0
20002_1081	maf_0.01	Non-cancer illness code, self-reported: stroke	20002_1081	232	32	4	0	0
20002_1082	maf_0.01	Non-cancer illness code, self-reported: transient ischaemic attack (tia)	20002_1082	249	39	2	2	0
20002_1083	maf_0.01	Non-cancer illness code, self-reported: subdural haemorrhage/haematoma	20002_1083	92	9	2	0	0
20002_1086	maf_0.01	Non-cancer illness code, self-reported: subarachnoid haemorrhage	20002_1086	129	17	3	0	0
20002_1087	maf_0.01	Non-cancer illness code, self-reported: leg claudication/ intermittent claudication	20002_1087	134	25	7	1	0
20002_1093	maf_0.01	Non-cancer illness code, self-reported: pulmonary embolism +/- dvt	20002_1093	237	37	13	10	8
20002_1094	maf_0.01	Non-cancer illness code, self-reported: deep venous thrombosis (dvt)	20002_1094	257	48	16	10	10
20002_1111	maf_0.01	Non-cancer illness code, self-reported: asthma	20002_1111	523	252	130	95	77
20002_1112	maf_0.01	Non-cancer illness code, self-reported: chronic obstructive airways disease/copd	20002_1112	225	32	6	3	0
20002_1113	maf_0.01	Non-cancer illness code, self-reported: emphysema/chronic bronchitis	20002_1113	252	42	9	2	0
20002_1114	maf_0.01	Non-cancer illness code, self-reported: bronchiectasis	20002_1114	212	49	6	2	1
20002_1115	maf_0.01	Non-cancer illness code, self-reported: interstitial lung disease	20002_1115	98	8	3	0	0
20002_1117	maf_0.01	Non-cancer illness code, self-reported: other respiratory problems	20002_1117	201	39	3	0	0
20002_1120	maf_0.01	Non-cancer illness code, self-reported: asbestosis	20002_1120	94	15	2	0	0
20002_1123	maf_0.01	Non-cancer illness code, self-reported: sleep apnoea	20002_1123	248	36	6	0	0
20002_1125	maf_0.01	Non-cancer illness code, self-reported: pleurisy	20002_1125	251	46	4	1	0
20002_1126	maf_0.01	Non-cancer illness code, self-reported: spontaneous pneumothorax/recurrent pneumothorax	20002_1126	231	41	6	2	0
20002_1134	maf_0.01	Non-cancer illness code, self-reported: oesophageal disorder	20002_1134	141	27	8	1	0
20002_1135	maf_0.01	Non-cancer illness code, self-reported: stomach disorder	20002_1135	204	36	4	3	1
20002_1136	maf_0.01	Non-cancer illness code, self-reported: liver/biliary/pancreas problem	20002_1136	194	27	5	2	1
20002_1137	maf_0.01	Non-cancer illness code, self-reported: other abdominal problem	20002_1137	163	35	5	1	0
20002_1138	maf_0.01	Non-cancer illness code, self-reported: gastro-oesophageal reflux (gord) / gastric reflux	20002_1138	273	39	5	0	0
20002_1139	maf_0.01	Non-cancer illness code, self-reported: oesophagitis/barretts oesophagus	20002_1139	266	39	7	1	0
20002_1142	maf_0.01	Non-cancer illness code, self-reported: gastric/stomach ulcers	20002_1142	215	30	3	0	0
20002_1143	maf_0.01	Non-cancer illness code, self-reported: gastritis/gastric erosions	20002_1143	196	29	4	1	0
20002_1154	maf_0.01	Non-cancer illness code, self-reported: irritable bowel syndrome	20002_1154	243	37	3	0	0
20002_1155	maf_0.01	Non-cancer illness code, self-reported: hepatitis	20002_1155	159	23	6	0	0
20002_1156	maf_0.01	Non-cancer illness code, self-reported: infective/viral hepatitis	20002_1156	184	29	5	0	0
20002_1157	maf_0.01	Non-cancer illness code, self-reported: non-infective hepatitis	20002_1157	130	18	1	0	0
20002_1158	maf_0.01	Non-cancer illness code, self-reported: liver failure/cirrhosis	20002_1158	146	30	5	1	0
20002_1161	maf_0.01	Non-cancer illness code, self-reported: gall bladder disease	20002_1161	113	27	1	0	0
20002_1162	maf_0.01	Non-cancer illness code, self-reported: cholelithiasis/gall stones	20002_1162	248	59	20	16	11
20002_1163	maf_0.01	Non-cancer illness code, self-reported: cholecystitis	20002_1163	148	17	4	2	1
20002_1165	maf_0.01	Non-cancer illness code, self-reported: pancreatitis	20002_1165	192	23	4	1	0
20002_1190	maf_0.01	Non-cancer illness code, self-reported: peritonitis	20002_1190	220	40	7	1	0
20002_1191	maf_0.01	Non-cancer illness code, self-reported: gastrointestinal bleeding	20002_1191	106	14	0	0	0
